time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state,Vab,Vbc,Vca,V_mean,V_imbalance,V_deviation,P_error
2025-12-24 12:35:00,10.481,12.509,8.854,3.1955,0.7995000000000001,4029.16,10.614666666666666,17.25124886943688,0.057666666666666,0.3355000000001382,0.7995000000000001,3,Running_Low,222.256,221.248,217.727,220.41033333333334,1.0788338541134244,0.186515151515155,1.3861392183146724
2025-12-24 12:40:00,10.263,12.04,8.866,3.18425,0.80025,4029.49175,10.389666666666663,15.31123907714387,-0.2250000000000014,0.3317500000002837,0.80025,3,Running_Low,222.1735,221.59375,218.19025,220.6525,0.9752818084696824,0.2965909090909106,0.20940334358876994
2025-12-24 12:45:00,10.173,12.272,8.807,3.19175,0.799,4029.82375,10.417333333333334,16.754517927851836,0.0276666666666685,0.3319999999998799,0.799,3,Running_Low,222.3085,221.7865,218.14675,220.74725,1.0270445087885205,0.33965909090909463,0.2919087395493285
2025-12-24 12:50:00,10.38,12.082,8.692,3.17825,0.7997500000000001,4030.15525,10.384666666666668,16.322188015204286,-0.0326666666666657,0.3314999999997781,0.7997500000000001,3,Running_Low,222.50725,220.81125,218.20875,220.50908333333334,0.9818743763155573,0.23140151515151655,0.19647853956305975
2025-12-24 12:55:00,10.387,12.046,8.626,3.14475,0.80325,4030.484,10.353,16.51940007711082,-0.031666666666668,0.3287500000001273,0.80325,3,Running_Low,221.289,220.2075,216.98325,219.49325,1.0205208842502116,0.23034090909091406,0.5339204767815383
2025-12-24 13:00:00,10.382,12.148,8.587,3.14825,0.81125,4030.79225,10.372333333333334,17.166047633375676,0.0193333333333338,0.3082500000000436,0.81125,3,Running_Low,217.75125,216.89749999999998,213.17075,215.93983333333333,1.1279962998345046,1.8455303030303065,0.0333008589775322
2025-12-24 13:05:00,10.431,12.527,8.694,3.152,0.816,4031.13075,10.550666666666666,18.1912671476037,0.1783333333333328,0.3384999999998399,0.816,3,Running_Low,215.63675,215.02675,210.74125,213.80158333333335,1.2478010551384355,2.817462121212112,1.1475567542967153
2025-12-24 13:10:00,10.282,12.194,8.443,3.1165000000000003,0.81725,4031.45025,10.306333333333331,18.19869711421704,-0.2443333333333335,0.3195000000000618,0.81725,3,Running_Low,215.52125,215.149,210.88,213.85008333333334,1.2059349685192255,2.7954166666666618,0.1064438175630228
2025-12-24 13:15:00,10.203,11.887,8.766,3.13025,0.8245,4031.7675,10.285333333333334,15.187919455707355,-0.020999999999999,0.3172500000000582,0.8245,3,Running_Low,214.037,214.08575,210.59125,212.90466666666666,0.9410906327635526,3.22515151515152,0.09762449389752131
2025-12-24 13:20:00,10.341,11.949,8.963,3.1345,0.8222499999999999,4032.0855,10.417666666666667,14.345588629542686,0.1323333333333334,0.318000000000211,0.8222499999999999,3,Running_Low,214.3465,213.857,210.87375,213.02575,0.8823764045693804,3.1701136363636415,0.8320961381384719
2025-12-24 13:25:00,10.172,11.79,8.757,3.1725000000000003,0.823,4032.402,10.239666666666666,14.821105675141707,-0.1780000000000008,0.3164999999999054,0.823,1,Running_High,213.95325,213.54325,209.898,212.46483333333333,1.0507034910669129,3.4250757575757587,2.2466368500097857
