ds,yhat
2026-05-12 12:25:00,7721.4731181064635
2026-05-12 12:26:00,7721.50236550714
2026-05-12 12:27:00,7721.531568701118
2026-05-12 12:28:00,7721.560728432471
2026-05-12 12:29:00,7721.589845451382
2026-05-12 12:30:00,7721.6189205138635
2026-05-12 12:31:00,7721.64795438148
2026-05-12 12:32:00,7721.6769478210645
2026-05-12 12:33:00,7721.705901604437
2026-05-12 12:34:00,7721.734816508124
2026-05-12 12:35:00,7721.763693313082
2026-05-12 12:36:00,7721.792532804406
2026-05-12 12:37:00,7721.8213357710565
2026-05-12 12:38:00,7721.850103005575
2026-05-12 12:39:00,7721.878835303802
2026-05-12 12:40:00,7721.907533464595
2026-05-12 12:41:00,7721.936198289552
2026-05-12 12:42:00,7721.964830582724
2026-05-12 12:43:00,7721.993431150343
2026-05-12 12:44:00,7722.022000800535
2026-05-12 12:45:00,7722.050540343046
2026-05-12 12:46:00,7722.079050588959
2026-05-12 12:47:00,7722.107532350421
2026-05-12 12:48:00,7722.135986440364
2026-05-12 12:49:00,7722.164413672226
2026-05-12 12:50:00,7722.192814859684
2026-05-12 12:51:00,7722.221190816371
2026-05-12 12:52:00,7722.249542355606
2026-05-12 12:53:00,7722.277870290124
2026-05-12 12:54:00,7722.306175431806
2026-05-12 12:55:00,7722.334458591404
2026-05-12 12:56:00,7722.362720578279
2026-05-12 12:57:00,7722.390962200132
2026-05-12 12:58:00,7722.419184262738
2026-05-12 12:59:00,7722.447387569684
2026-05-12 13:00:00,7722.475572922106
2026-05-12 13:01:00,7722.503741118431
2026-05-12 13:02:00,7722.531892954115
2026-05-12 13:03:00,7722.56002922139
2026-05-12 13:04:00,7722.588150709004
2026-05-12 13:05:00,7722.616258201976
2026-05-12 13:06:00,7722.6443524813385
2026-05-12 13:07:00,7722.672434323891
2026-05-12 13:08:00,7722.700504501956
2026-05-12 13:09:00,7722.728563783129
2026-05-12 13:10:00,7722.756612930042
2026-05-12 13:11:00,7722.784652700121
2026-05-12 13:12:00,7722.812683845349
2026-05-12 13:13:00,7722.840707112031
2026-05-12 13:14:00,7722.868723240561
2026-05-12 13:15:00,7722.896732965193
2026-05-12 13:16:00,7722.924737013814
2026-05-12 13:17:00,7722.952736107716
2026-05-12 13:18:00,7722.980730961382
2026-05-12 13:19:00,7723.008722282255
2026-05-12 13:20:00,7723.036710770532
2026-05-12 13:21:00,7723.064697118947
2026-05-12 13:22:00,7723.092682012556
2026-05-12 13:23:00,7723.120666128537
2026-05-12 13:24:00,7723.148650135979
2026-05-12 13:25:00,7723.176634695684
2026-05-12 13:26:00,7723.204620459967
2026-05-12 13:27:00,7723.232608072462
2026-05-12 13:28:00,7723.260598167927
2026-05-12 13:29:00,7723.288591372058
2026-05-12 13:30:00,7723.3165883013025
2026-05-12 13:31:00,7723.344589562675
2026-05-12 13:32:00,7723.372595753581
2026-05-12 13:33:00,7723.40060746164
2026-05-12 13:34:00,7723.428625264513
2026-05-12 13:35:00,7723.4566497297365
2026-05-12 13:36:00,7723.484681414549
2026-05-12 13:37:00,7723.512720865741
2026-05-12 13:38:00,7723.540768619489
2026-05-12 13:39:00,7723.568825201202
2026-05-12 13:40:00,7723.596891125373
2026-05-12 13:41:00,7723.624966895428
2026-05-12 13:42:00,7723.653053003586
2026-05-12 13:43:00,7723.681149930718
2026-05-12 13:44:00,7723.709258146209
2026-05-12 13:45:00,7723.73737810783
2026-05-12 13:46:00,7723.765510261604
2026-05-12 13:47:00,7723.7936550416825
2026-05-12 13:48:00,7723.82181287023
2026-05-12 13:49:00,7723.849984157299
2026-05-12 13:50:00,7723.878169300723
2026-05-12 13:51:00,7723.906368686002
2026-05-12 13:52:00,7723.934582686201
2026-05-12 13:53:00,7723.962811661848
2026-05-12 13:54:00,7723.991055960833
